id,qname,heading,text,type,diagram,website,updated
,MonetaryGrant,MonetaryGrant,A monetary grant.,Class,http://schema.org/diagrams/MonetaryGrant.dot.svg,http://schema.org/MonetaryGrant,2026-07-24T12:31:48.132193
,DrugPrescriptionStatus,DrugPrescriptionStatus,Indicates whether this drug is available by prescription or over-the-counter.,Class,http://schema.org/diagrams/DrugPrescriptionStatus.dot.svg,http://schema.org/DrugPrescriptionStatus,2026-07-24T12:31:48.132193
,SellAction,SellAction,"The act of taking money from a buyer in exchange for goods or services rendered. An agent sells an object, product, or service to a buyer for a price. Reciprocal of BuyAction.",Class,http://schema.org/diagrams/SellAction.dot.svg,http://schema.org/SellAction,2026-07-24T12:31:48.132193
,Report,Report,A Report generated by governmental or non-governmental organization.,Class,http://schema.org/diagrams/Report.dot.svg,http://schema.org/Report,2026-07-24T12:31:48.132193
,Code,Code,"Computer programming source code. Example: Full (compile ready) solutions, code snippet samples, scripts, templates.",Class,http://schema.org/diagrams/Code.dot.svg,http://schema.org/Code,2026-07-24T12:31:48.132193
,ComicSeries,ComicSeries,"A sequential publication of comic stories under a
    	unifying title, for example ""The Amazing Spider-Man"" or ""Groo the
    	Wanderer"".",Class,http://schema.org/diagrams/ComicSeries.dot.svg,http://schema.org/ComicSeries,2026-07-24T12:31:48.132193
,FundingAgency,FundingAgency,"A FundingAgency is an organization that implements one or more [[FundingScheme]]s and manages
    the granting process (via [[Grant]]s, typically [[MonetaryGrant]]s).
    A funding agency is not always required for grant funding, e.g. philanthropic giving, corporate sponsorship etc.
    
Examples of funding agencies include ERC, REA, NIH, Bill and Melinda Gates Foundation, ...
    ",Class,http://schema.org/diagrams/FundingAgency.dot.svg,http://schema.org/FundingAgency,2026-07-24T12:31:48.132193
,NLNonprofitType,NLNonprofitType,NLNonprofitType: Non-profit organization type originating from the Netherlands.,Class,http://schema.org/diagrams/NLNonprofitType.dot.svg,http://schema.org/NLNonprofitType,2026-07-24T12:31:48.132193
,SendAction,SendAction,"The act of physically/electronically dispatching an object for transfer from an origin to a destination. Related actions:\n\n* [[ReceiveAction]]: The reciprocal of SendAction.\n* [[GiveAction]]: Unlike GiveAction, SendAction does not imply the transfer of ownership (e.g. I can send you my laptop, but I'm not necessarily giving it to you).",Class,http://schema.org/diagrams/SendAction.dot.svg,http://schema.org/SendAction,2026-07-24T12:31:48.132193
,FastFoodRestaurant,FastFoodRestaurant,A fast-food restaurant.,Class,http://schema.org/diagrams/FastFoodRestaurant.dot.svg,http://schema.org/FastFoodRestaurant,2026-07-24T12:31:48.132193
